FECHA (YYMMDD);HORA (HHMM);;
260417;0700;68,2609;
260417;0800;63,3875;
260417;0900;50,3483;
260417;1000;50,2517;
260417;1100;50,3167;
260417;1200;53,91;
260417;1300;49,7533;
260417;1400;48,6392;
260417;1500;56,155;
260417;1600;57,9825;
260417;1700;69,5483;
260417;1800;69,0558;
260417;1900;69,1208;
260417;2000;70,5083;
260417;2100;73,14;
260417;2200;79,855;
260417;2300;83,0417;
260418;0000;88,9583;
260418;0100;91,55;
260418;0200;93,575;
260418;0300;93,9583;
260418;0400;93,7917;
260418;0500;94,2916;
260418;0600;94,5083;
260418;0700;94,6917;
260418;0800;94,6;
260418;0900;93,1;
260418;1000;92,0917;
260418;1100;92,375;
260418;1200;90,4;
260418;1300;80,5883;
260418;1400;71,7125;
260418;1500;64,0157;
260418;1600;52,7758;
260418;1700;61,6658;
260418;1800;69,7417;
260418;1900;60,8792;
260418;2000;56,1575;
260418;2100;60,5992;
260418;2200;58,5033;
260418;2300;58,2892;
260419;0000;63,28;
260419;0100;69,5808;
260419;0200;69,7633;
260419;0300;68,0767;
260419;0400;67,4484;
260419;0500;68,9434;
260419;0600;70,1567;
260419;0700;72,395;
260419;0800;72,515;
260419;0900;69,9225;
260419;1000;60,9758;
260419;1100;52,21;
260419;1200;52,2583;
260419;1300;53,8883;
260419;1400;54,8908;
260419;1500;54,6608;
260419;1600;56,4558;
260419;1700;57,5517;
260419;1800;64,6685;
260419;1900;65,3983;
260419;2000;66,2325;
260419;2100;68,5758;
260419;2200;73,77;
260419;2300;74,48;
260420;0000;73,505;
260420;0100;73,1783;
260420;0200;72,1375;
260420;0300;73,6442;
260420;0400;76,6934;
260420;0500;76,8842;
260420;0600;77,0175;
260420;0700;74,8917;
260420;0800;73,3358;
260420;0900;72,6533;
260420;1000;70,5208;
260420;1100;64,85;
260420;1200;61,6883;
260420;1300;58,2217;
260420;1400;57,7267;
260420;1500;57,2458;
260420;1600;59,9467;
260420;1700;61,5233;
260420;1800;69,0518;
260420;1900;76,8101;
260420;2000;74,7443;
260420;2100;77,1075;
260420;2200;74,9042;
260420;2300;69,6775;
260421;0000;63,8508;
260421;0100;65,0642;
260421;0200;73,5074;
260421;0300;76,2817;
260421;0400;78,0468;
260421;0500;79,5084;
260421;0600;81,1583;
260421;0700;80,7833;
260421;0800;81,475;
260421;0900;79,2968;
260421;1000;68,8458;
260421;1100;62,8317;
260421;1200;60,4333;
260421;1300;52,075;
260421;1400;51,2692;
260421;1500;50,7983;
260421;1600;61,4617;
260421;1700;68,5925;
260421;1800;70,365;
260421;1900;70,6276;
260421;2000;70,4258;
260421;2100;71,2533;
260421;2200;74,9933;
260421;2300;88,0417;
260422;0000;88,4668;
260422;0100;83,3501;
260422;0200;80,7059;
260422;0300;80,8185;
260422;0400;80,2809;
260422;0500;82,736;
260422;0600;80,4302;
260422;0700;83,5918;
260422;0800;86,7418;
260422;0900;80,1417;
260422;1000;64,6008;
260422;1100;53,4792;
260422;1200;49,3908;
260422;1300;46,7883;
260422;1400;46,4892;
260422;1500;50,145;
260422;1600;57,2317;
260422;1700;59,9108;
260422;1800;66,1117;
260422;1900;62,7567;
260422;2000;60,6358;
260422;2100;61,64;
260422;2200;54,06;
260422;2300;57,1892;
260423;0000;56,3408;
260423;0100;54,8008;
260423;0200;54,9617;
260423;0300;75,2358;
260423;0400;83,7933;
260423;0500;90,2917;
260423;0600;92,6917;
260423;0700;91,7637;
260423;0800;91,175;
260423;0900;85,5333;
260423;1000;82,7;
260423;1100;83,7583;
260423;1200;85,75;
260423;1300;80,9917;
260423;1400;77,8593;
260423;1500;71,5675;
260423;1600;72,0576;
260423;1700;83,3668;
260423;1800;66,8468;
260423;1900;78,4326;
260423;2000;89,8085;
260423;2100;88,7668;
260423;2200;88,9751;
260423;2300;84,7001;
260424;0000;84,4076;
260424;0100;81,9059;
260424;0200;81,1843;
260424;0300;69,136;
260424;0400;75,0868;
260424;0500;81,6134;
260424;0600;84,6584;
260424;0700;80,9901;
260424;0800;75,251;
260424;0900;65,98;
260424;1000;68,0568;
260424;1100;56,7525;
260424;1200;48,7225;
260424;1300;43,9808;
260424;1400;36,07;
260424;1500;42,36;
260424;1600;56,1917;
260424;1700;59,95;
260424;1800;67,2317;
260424;1900;65,7856;
260424;2000;68,3776;
260424;2100;66,7667;
260424;2200;71,6025;
260424;2300;68,8792;
260425;0000;71,8134;
260425;0100;75,5675;
260425;0200;73,6992;
260425;0300;70,1417;
260425;0400;67,5834;
260425;0500;68,6733;
260425;0600;68,8734;
260425;0700;76,16;
260425;0800;87,275;
260425;0900;89,8833;
260425;1000;91,65;
260425;1100;92,2083;
260425;1200;89,075;
260425;1300;86,8608;
260425;1400;69,9292;
260425;1500;62,7008;
260425;1600;63,2567;
260425;1700;62,8258;
260425;1800;63,5283;
260425;1900;75,5267;
260425;2000;89,2417;
260425;2100;92,875;
260425;2200;93,625;
260425;2300;93,9;
260426;0000;94,5917;
260426;0100;95,0333;
260426;0200;95,9083;
260426;0300;95,7583;
260426;0400;95,6583;
260426;0500;95,5833;
260426;0600;95,7916;
260426;0700;95,475;
260426;0800;95,525;
260426;0900;94,7334;
260426;1000;92,0333;
260426;1100;77,2225;
260426;1200;66,3875;
260426;1300;60,6158;
260426;1400;50,5233;
260426;1500;49,41;
260426;1600;54,1742;
260426;1700;57,2475;
260426;1800;59,6108;
260426;1900;60,4508;
260426;2000;58,435;
260426;2100;62,5533;
260426;2200;62,79;
260426;2300;60,6533;
260427;0000;70,0308;
260427;0100;77,9275;
260427;0200;82,4;
260427;0300;82,525;
260427;0400;82,575;
260427;0500;81,8016;
260427;0600;83,3333;
260427;0700;83,5;
260427;0800;81,0175;
260427;0900;78,4109;
260427;1000;71,9266;
260427;1100;60,3237;
260427;1200;61,2533;
260427;1300;62,8975;
260427;1400;55,8892;
260427;1500;57,49;
260427;1600;62,2233;
260427;1700;70,8025;
260427;1800;74,7867;
260427;1900;76,5842;
260427;2000;75,9583;
260427;2100;81,8917;
260427;2200;81,775;
260427;2300;82,3625;
260428;0000;78,6176;
260428;0100;77,2408;
260428;0200;75,9008;
260428;0300;74,5699;
260428;0400;76,5458;
260428;0500;75,6984;
260428;0600;77,12;
260428;0700;81,9817;
260428;0800;80,8817;
260428;0900;78,52;
260428;1000;88,0583;
260428;1100;91,5334;
260428;1200;88,0616;
260428;1300;68,8242;
260428;1400;73,1692;
260428;1500;82,3383;
260428;1600;87,2167;
260428;1700;81,1783;
260428;1800;78,795;
260428;1900;78,1683;
260428;2000;73,0275;
260428;2100;71,095;
260428;2200;74,1133;
260428;2300;69,8741;
260429;0000;66,8025;
260429;0100;64,0425;
260429;0200;56,6933;
260429;0300;55,425;
260429;0400;59,3425;
260429;0500;60,5792;
260429;0600;69,9893;
260429;0700;74,3018;
260429;0800;70,7958;
260429;0900;66,3317;
260429;1000;63,5958;
260429;1100;57,5767;
260429;1200;51,4275;
260429;1300;48,32;
260429;1400;51,0017;
260429;1500;59,8017;
260429;1600;64,7343;
260429;1700;77,3234;
260429;1800;86,9167;
260429;1900;89,2667;
260429;2000;86,8333;
260429;2100;89,5333;
260429;2200;89;
