FECHA (YYMMDD);HORA (HHMM);;
150220;1300;2,1;
150220;1400;3,5;
150220;1500;3,7;
150220;1600;3,6;
150220;1700;3;
150220;1800;2,3;
150220;1900;1,7;
150220;2000;1,3;
150220;2100;1,4;
150220;2200;1,5;
150220;2300;1,4;
150221;0000;1,4;
150221;0100;1,3;
150221;0200;1,2;
150221;0300;1,1;
150221;0400;1,1;
150221;0500;0,9;
150221;0600;1,3;
150221;0700;1;
150221;0800;1,8;
150221;0900;2,7;
150221;1000;3;
150221;1100;3,6;
150221;1200;3,2;
150221;1300;3,9;
150221;1400;4,89999;
150221;1500;4,3;
150221;1600;4,89999;
150221;1700;4,8;
150221;1800;4,39999;
150221;1900;3,2;
150221;2000;1,6;
150221;2100;0,599999;
150221;2200;1,3;
150221;2300;0,9;
150222;0000;1,2;
150222;0100;1,6;
150222;0200;1,4;
150222;0300;2;
150222;0400;1,8;
150222;0500;2,1;
150222;0600;2;
150222;0700;1,5;
150222;0800;1,4;
150222;0900;2,7;
150222;1000;4,6;
150222;1100;5,5;
150222;1200;5,7;
150222;1300;5,89999;
150222;1400;5,5;
150222;1500;5,3;
150222;1600;6,2;
150222;1700;5,5;
150222;1800;3,8;
150222;1900;2,5;
150222;2000;2,2;
150222;2100;1,9;
150222;2200;1,9;
150222;2300;2,3;
150223;0000;2,4;
150223;0100;2,7;
150223;0200;2,6;
150223;0300;3;
150223;0400;3,6;
150223;0500;4,5;
150223;0600;3,1;
150223;0700;4,2;
150223;0800;6,2;
150223;0900;6,8;
150223;1000;7,1;
150223;1100;7,3;
150223;1200;7;
150223;1300;6,2;
150223;1400;6,3;
150223;1500;6,3;
150223;1600;5,3;
150223;1700;5,1;
150223;1800;5,2;
150223;1900;5,5;
150223;2000;5,39999;
150223;2100;4,7;
150223;2200;2,4;
150223;2300;1,6;
150224;0000;1,8;
150224;0100;1,5;
150224;0200;1,4;
150224;0300;1,3;
150224;0400;1,4;
150224;0500;1,9;
150224;0600;1,7;
150224;0700;1,5;
150224;0800;1,1;
150224;0900;1,5;
150224;1000;1,9;
150224;1100;2,3;
150224;1200;2,4;
150224;1300;2,2;
150224;1400;1,9;
150224;1500;2;
150224;1600;3;
150224;1700;3,4;
150224;1800;3;
150224;1900;2,2;
150224;2000;1,4;
150224;2100;1;
150224;2200;0,7;
150224;2300;0,9;
150225;0000;1,4;
150225;0100;0,799999;
150225;0200;0,799999;
150225;0300;0,7;
150225;0400;0,9;
150225;0500;1,3;
150225;0600;0,799999;
150225;0700;0,7;
150225;0800;0,9;
150225;0900;1,2;
150225;1000;1,3;
150225;1100;1,5;
150225;1200;1,5;
150225;1300;1,4;
150225;1400;1,5;
150225;1500;1,7;
150225;1600;4,7;
150225;1700;3,9;
150225;1800;4;
150225;1900;1,4;
150225;2000;1,4;
150225;2100;1,4;
150225;2200;2,3;
150225;2300;2,4;
150226;0000;1,8;
150226;0100;1,6;
150226;0200;2,1;
150226;0300;2,3;
150226;0400;3;
150226;0500;3,2;
150226;0600;3;
150226;0700;2;
150226;0800;2,5;
150226;0900;2,7;
150226;1000;1,9;
150226;1100;2,4;
150226;1200;2,8;
150226;1300;3,5;
150226;1400;3,1;
150226;1500;3,9;
150226;1600;3,1;
150226;1700;3;
150226;1800;2,5;
150226;1900;1,6;
150226;2000;1,2;
150226;2100;1,2;
150226;2200;1;
150226;2300;1,5;
150227;0000;0,7;
150227;0100;1,1;
150227;0200;0,7;
150227;0300;0,4;
150227;0400;0,799999;
150227;0500;0,7;
150227;0600;0,7;
150227;0700;0,599999;
150227;0800;0,9;
150227;0900;1,1;
150227;1000;1,3;
150227;1100;1,3;
150227;1200;1,9;
150227;1300;1,3;
150227;1400;1,6;
150227;1500;4,5;
150227;1600;5,7;
150227;1700;4,6;
150227;1800;3,4;
150227;1900;2,6;
150227;2000;1;
150227;2100;0,9;
150227;2200;1;
150227;2300;1,4;
